learning rate,number of epoch,number of executor,size,accuracy/%,time/ms
0.01,20,3,15,0.9790000000000001,3074232.9680000003
0.01,20,1,15,0.9778,3088426.455
0.01,20,3,30,0.9769,2349877.934
0.01,20,1,30,0.9771,1826878.438
0.002,20,1,15,0.9509,4035064.3619999997
0.002,20,1,30,0.9319,2190319.48
0.002,20,3,30,0.9362,3623749.519
0.002,20,3,15,0.9436,2825844.528
0.01,10,1,30,0.9663,2000061.106
0.01,10,1,15,0.9774,3197516.8039999995
0.01,10,3,30,0.9715,1809029.082
0.01,10,3,15,0.9761,1815217.021
0.002,10,3,15,0.94,2131233.003
0.002,10,1,30,0.9132,1012318.5809999999
0.002,10,1,15,0.9325,1369083.456
0.002,10,3,30,0.9104,1182563.328
0.002,20,1,15,0.9329999999999999,3497844.019704
0.002,20,3,15,0.9386,5334453.814275
0.01,20,1,30,0.9739,1721166.911734
0.002,20,1,30,0.9264,2014957.9975959999
0.01,20,3,30,0.9757,2275032.438777
0.01,20,3,15,0.9775,3855400.862103
0.01,20,1,15,0.98,2858901.409915
0.002,20,3,30,0.9343,2770324.078859
0.01,10,1,30,0.9703,1644383.407347
0.002,10,3,15,0.9259999999999999,2000897.586625
0.01,10,3,15,0.9753,2538734.9703450003
0.002,10,1,30,0.9176,966133.867082
0.002,10,1,15,0.9383,1386291.79912
0.002,10,3,30,0.9111,1119645.304586
0.01,10,1,15,0.9753,2628219.539569
0.01,10,3,30,0.9708,1289099.3892889998
0.002,20,1,15,0.9390000000000001,3720353.921261
0.01,20,1,15,0.9794,3341045.992618
0.002,20,3,15,0.9437,4458838.295966
0.002,20,1,30,0.9304,2032041.6282330002
0.01,20,3,15,0.9808,4120180.039686
0.01,20,3,30,0.9749,2313498.506533
0.01,20,1,30,0.9748,1943684.045862
0.002,20,3,30,0.9329,2524843.116675
0.01,10,3,15,0.9772,2087160.0791240002
0.01,10,1,30,0.9696,1006412.695801
0.01,10,3,30,0.9727,1129638.283944
0.002,10,1,30,0.9105,987643.963141
0.01,10,1,15,0.9740000000000001,1358235.057797
0.002,10,3,15,0.9319,1842622.269666
0.002,10,3,30,0.9159,1067386.906306
0.002,10,1,15,0.9265,1908073.1614779998
