NO.,learning rate,number of epoch,number of executor,size,accuracy/%,time/ms
1,0.002,20,1,15,0.939,3720353.921261
2,0.002,20,3,15,0.9437,4458838.295966
3,0.01,20,1,30,0.9748,1943684.045862
4,0.002,20,1,30,0.9304,2032041.628233
5,0.01,20,3,30,0.9749,2313498.506533
6,0.01,20,3,15,0.9808,4120180.039686
7,0.01,20,1,15,0.9794,3341045.992618
8,0.002,20,3,30,0.9329,2524843.116675
9,0.01,10,1,30,0.9696,1006412.695801
10,0.002,10,3,15,0.9319,1842622.269666
11,0.01,10,3,15,0.9772,2087160.079124
12,0.002,10,1,30,0.9105,987643.963141
13,0.002,10,1,15,0.9265,1908073.161478
14,0.002,10,3,30,0.9159,1067386.906306
15,0.01,10,1,15,0.974,1358235.057797
16,0.01,10,3,30,0.9727,1129638.283944
